Africa,Eastern Africa,Kenya,UN-CTS/WPB-ICPR,,55000,50000,,,49092,48122,48153,51068,44522,53430,53537,54225,48500,,,156.8,138.7,,,125.4,119.6,116.5,120.2,102.0,119.2,116.3,114.8,100.0
Oceania,Micronesia,Kiribati,WPB-ICPR,,81,74,84,88,84,,90,,106,,120,146,129,,,89.5,80.2,89.1,91.4,85.3,,87.7,,99.4,,108.6,129.9,112.7
Europe,Southern Europe,Kosovo under UNSCR 1244,UN-CTS/WPB-ICPR,1182,1189,1199,1252,,,1325,1333,1441,1737,1776,1854,1478,1648,,69.4,69.8,70.3,72.8,,,75.2,75.1,80.5,96.2,97.4,101.8,82.0,90.7
Asia,Western Asia,Kuwait,WPB-ICPR,3700,,3500,,,,4045,4179,4100,,2900,3200,4000,5400,,170.6,,153.7,,,,143.5,139.4,128.5,,80.6,84.6,101.6,134.7
Asia,Central Asia,Kyrgyzstan,UN-CTS/WPB-ICPR,16934,16620,15758,15127,14408,9607,,9923,,9828,9997,9581,10147,10328,,337.9,329.9,310.5,295.1,277.6,182.6,,183.0,,175.7,175.9,165.9,173.0,173.5
Asia,South-Eastern Asia,Lao People's Democratic Republic,WPB-ICPR,,,,,,,,,,,,,8201,,,,,,,,,,,,,,,123.1,
Europe,Northern Europe,Latvia,UN-CTS,8305,8231,7646,6965,6548,6548,7055,6780,6561,6117,5136,4745,4409,,,360.2,361.2,339.5,313.0,297.8,301.5,328.9,320.0,313.5,296.0,251.7,235.4,221.3,
Asia,Western Asia,Lebanon,UN-CTS/WPB-ICPR,6382,5990,6921,6101,5870,4686,4901,5060,5169,5060,5393,6012,6320,,,172.4,155.1,173.6,150.4,143.6,114.0,117.2,116.7,112.7,102.9,102.2,107.3,108.0,
Africa,Southern Africa,Lesotho,UN-CTS/WPB-ICPR,,,2712,,2852,2594,2555,2498,,2564,,2073,,,,,,139.1,,143.9,129.7,126.5,122.4,,122.7,,96.6,,
Africa,Western Africa,Liberia,WPB-ICPR,,,,,1022,,1420,,1601,,1827,,2104,,,,,,,29.1,,37.3,,39.3,,42.6,,46.8,
